"site","ACI","ADI","AEI","NDSI","NDSI_A","NDSI_B","BI","H","Ht","Hs","M","R","sfm","rugo","zcr_mean"
"s2llg005_170430",62.9182214348317,1.46476561336032,0.416009273279352,0.214986457305024,0.769494709094799,1.42392787085807,2.68485319322886,0.809248185256982,0.976418378325449,0.919600365363789,0.0014564943610144,0.307268730059992,0.235810150204594,0.0253086813454751,0.173442120542141
"s2llg005_170527",61.8185212965414,1.83853334352941,0.277942595294118,0.407813050062665,0.70831686649805,1.75915700518666,2.10017349777445,0.905589734003614,0.983101490659546,0.959136674936041,0.000437047429153303,0.268679165309183,0.271089417612007,0.0519541411654136,0.218665725112795
"s2llg005_170627",61.7996658338843,1.85277653153153,0.222281914414414,0.467793622376099,0.656931438432484,1.91265388134731,1.8041331663232,0.898740286278584,0.978831429328058,0.953442671386202,0.000500362156748661,0.301074837346896,0.268613874864633,0.0562035940388888,0.229257735287712
"s2llg005_170705",61.902556606065,1.53369125,0.407343252659574,0.295357927326886,0.777883107413498,1.55590240930683,1.66665728422852,0.820048573137616,0.981224708318833,0.925395869603066,0.000934323207829878,0.321414612413077,0.255501760504814,0.0305583038806568,0.11449882382286
"s2llg005_170811",61.5248717956592,1.69467546969697,0.457618669191919,-0.388100391013437,0.954767646643755,0.469158883995392,4.77233157544347,0.835320988860675,0.9788043017179,0.926584084905715,0.00100231778851015,0.35498187623893,0.253107793273492,0.0231598384202244,0.109286029590324
"s2llg005_180331",61.9053511735145,0.796718013944223,0.688748509960159,0.118195515662073,0.81090180789208,1.18383046476695,2.49286501348615,0.690274846455873,0.966028985025268,0.867669196574488,0.00307594546621664,0.450347275054181,0.218382439653362,0.0148994150092188,0.12372927110214
"s2llg005_180414",63.3239946871729,1.80508676035503,0.332584322485207,0.520162326563232,0.537816919791125,1.68170815003871,4.42325525667292,0.874674856711137,0.975928002015768,0.947480181343727,0.000603733927999323,0.291876897090904,0.275587766854554,0.0300825429566888,0.203285535627183
"s2llg005_180425",66.6275416335934,1.42413426029963,0.456028683520599,0.262824131651588,0.639825591003556,1.12462924797124,5.26316390542011,0.749146576690333,0.964285047842195,0.889031488840279,0.00228782878901494,0.438627648917156,0.228490753536513,0.0294705535585699,0.13758336535106
"s2llg005_180502",62.3300439035774,1.76202378824834,0.294324780487805,0.450228049875097,0.632423792965319,1.76335788904822,2.27705293362303,0.882679950647259,0.981031251902289,0.949470518847741,0.000652341331060065,0.284646965261949,0.277921871268827,0.0475865730059611,0.22029627719781
"s2llg005_180517",63.0727580019533,1.92073524282561,0.233572657836645,0.598448177533883,0.481715361348609,1.9494061073714,3.79924980804655,0.895821480923244,0.979121521658045,0.955127536236174,0.000519678726976715,0.215145038040288,0.283548714900584,0.0417919237643621,0.231360924333909
"s2llg005_180522",62.7503080146813,2.26969420477816,0.055834928327645,0.546538962885649,0.491687171597442,1.8103193617381,4.1708505815713,0.941740578397774,0.987280695323069,0.97037418716177,0.000344639211496701,0.236156848396592,0.290717957498803,0.0438399511225539,0.24094249500905
"s2llg005_180624",61.9736995896033,0.842132761528327,0.651949612648221,0.251108580592746,0.71998847649693,1.33288369381706,2.91688607236291,0.650662722372325,0.967262102318361,0.853115278862875,0.00424643798103032,0.526949430680193,0.223660176647272,0.0203532517905754,0.134349871247763
"s2llg005_190414",61.9266767953406,1.93649860180995,0.233479334841629,0.450039627303392,0.665767693414735,1.812514835168,2.5273332488658,0.914681639140148,0.982967000062177,0.960754441999418,0.000388424542010771,0.202479643852874,0.271732659866725,0.0411277476409083,0.229396078480878
"s2llg005_190503",63.0638049991171,1.22633057096774,0.482645606451613,0.308712685647809,0.736375200757787,1.54136508305366,2.40904625619079,0.7490658927199,0.97094871486519,0.891718980596583,0.00236064793144785,0.35308787039166,0.227628034759236,0.0285287379014565,0.173326060934965
"s2llg005_190521",62.6874159633568,1.71514362176166,0.347912101036269,0.343351702201975,0.693929470102155,1.47572109405874,3.5639297467592,0.873077364798525,0.975704804706651,0.944692508630267,0.000545923912591448,0.270945249261113,0.271369888898008,0.0385513209873057,0.200710887909183
"s2llg005_190530",62.280266360126,1.47126089754098,0.386233282786885,0.369152568253227,0.720232031629981,1.67821527519778,2.08618086771841,0.829391412543684,0.970945595479539,0.924652605047829,0.000870923864985499,0.295981289222257,0.254687791258844,0.0360016601290002,0.202567325917906
"s2llg005_210420",62.8147707887175,1.94482223036649,0.21671752617801,0.58119919574855,0.528507588640446,1.98702382627202,2.98209440357997,0.914766305876805,0.978091335778099,0.959231107139443,0.000352520583681727,0.178926781063162,0.269197972699281,0.0494180757656072,0.255751887984639
"s2llg005_210622",62.3741786837946,1.02068994010417,0.568105057291667,0.250292465214102,0.738698361550509,1.3973034258216,2.93557287315727,0.737841928850313,0.96154909294697,0.884513496899067,0.00142829470349156,0.391924096270181,0.225333478453814,0.0191327659559607,0.158410832533803
"s2llg005_210628",62.0698750792703,1.40031757880435,0.408476214673913,0.390852923192148,0.692144808851363,1.71585978026656,1.8550142220845,0.812665546867517,0.971444608914566,0.920378947253798,0.00135399382796372,0.303929280463117,0.242750652666824,0.0379097232173252,0.202695505239907
"s2llg006_170404",62.3598425924302,1.87007800711744,0.269031220640569,0.393208232383042,0.702603145595824,1.7386524570307,2.49949484577077,0.902876061171595,0.980239263045973,0.956610922033179,0.000722565561322288,0.245549850241869,0.270213811892414,0.0377489480604498,0.23430598536572
"s2llg006_170415",62.244721548237,1.33803144148936,0.441201563829787,0.328000220237838,0.73486284736262,1.5408578700816,2.06510852611273,0.828891053447517,0.966592763130833,0.922882699783463,0.000603716553696923,0.288973879029229,0.251753721954776,0.0295591212115879,0.206529020030865
"s2llg006_170422",62.2119932029965,2.22155795177665,0.100360814720812,0.0723703067392887,0.786741543271124,0.934316866305696,6.15473155383295,0.900754377100386,0.988183065254589,0.954609153007242,0.000573280277708686,0.194615709946448,0.284780112467732,0.0415141011287799,0.152600877999744
"s2llg006_170430",63.2905032491847,1.06094304849885,0.553960030023095,0.339595128087366,0.68848633797815,1.57695313428912,2.42616801201278,0.744474757728843,0.956963590677531,0.892629143493296,0.00203518856910585,0.38079823817726,0.250261558873516,0.0191262694800409,0.192314465985962
"s2llg006_170506",65.9040699413189,1.0066331953125,0.610553018229167,0.284879217485593,0.702532172094696,1.30434453062312,3.88697951399845,0.719490440656294,0.95232617274067,0.876306667087755,0.0028546996341988,0.408114300102435,0.230157132369978,0.0219356722606957,0.173301858020409
"s2llg006_170516",63.3792526755402,2.26218197452229,0.0822743885350318,0.388163494373368,0.758862598957458,1.73819808871367,1.34969583251798,0.896081081141458,0.989382934448785,0.9750492736648,0.000307406973280804,0.135040063082134,0.0700982130133855,0.0193372072608084,0.220798880923696
"s2llg006_170527",62.238826935859,1.31696111691542,0.425841708955224,0.296270441386086,0.767013271237228,1.52687744248244,2.15458377717245,0.779885523908473,0.96818900107995,0.904493425651326,0.00115529212978013,0.413208435784756,0.250123580089779,0.0400159197077623,0.162349800107252
"s2llg006_170613",62.0248448609282,1.79962613851992,0.293094423149905,0.408516231560015,0.65966348444751,1.66104052546835,2.42178758259845,0.895758605865466,0.976503624648782,0.95293246649841,0.000407527146482968,0.225343128003934,0.279060160531748,0.0411418649492116,0.240091665470957
"s2llg006_170708",61.8424471566361,1.27508005812221,0.477914549925484,0.327856718200456,0.708090649904037,1.49291097356195,2.09766112977521,0.810641071354752,0.968041383690161,0.918634963751587,0.00104985936449068,0.394680889472195,0.256466111677503,0.0334066637465161,0.201778754459729
"s2llg006_180331",61.7892514553003,1.34411297270471,0.462990861042184,0.23392485986509,0.746101417164971,1.32515661756593,2.22067056601426,0.808999200710692,0.967757571366535,0.918608849092099,0.000832936519119638,0.376267632718116,0.241409390787299,0.0288448331794497,0.172433029843504
"s2llg006_180414",62.2838865608348,1.4230611611479,0.481881501103753,-0.459861977331948,0.972745334715645,0.434638703593725,2.76175907738409,0.736729476655798,0.980175364985446,0.889487805999482,0.00348732126168054,0.460647904383349,0.21445557423244,0.0250369266388646,0.087511709359181
"s2llg006_180425",63.922936774243,1.3072440331384,0.51642581871345,-0.250266650541684,0.915351701916479,0.6392872418504,4.0443827865601,0.701742006149203,0.978118208925756,0.873552801695329,0.00605361600099184,0.464814852416769,0.209553220609616,0.0220865504668437,0.0804719604552215
"s2llg006_180502",63.2089808524151,1.85086815258216,0.276749877934272,0.453101410295179,0.6347512600836,1.78396486883683,3.65346399985247,0.877240795702741,0.979418367631823,0.946787598498424,0.000550797527132098,0.308703267249574,0.270374252414449,0.0313345156645142,0.182427328694819
"s2llg006_180519",63.0685755466855,1.1005492443609,0.521085261278196,0.245983417752389,0.739613399661294,1.37156055761759,2.53804287057655,0.684414498091567,0.977658164333326,0.862611928565078,0.0116170568593307,0.374781519518016,0.212658057401849,0.0322173631805356,0.150133683686853
"s2llg006_180526",63.1865850610472,1.86632930927835,0.250528448453608,0.480125251561879,0.600232887225668,1.79410436497636,2.62336447021803,0.912214650144097,0.97759855529914,0.959158630601299,0.000340361899837396,0.215799843145621,0.281645784271198,0.0513892476283853,0.253634991800905
"s2llg006_180624",61.929252707563,1.62923270051414,0.33759526092545,0.3392547408334,0.716854203577971,1.62485696277209,2.18332408766379,0.86766608936421,0.97333707707579,0.940413114263345,0.000511774077156519,0.25827608366182,0.261204969862018,0.0415294927705446,0.216013659703534
"s2llg006_190414",62.136180033646,1.93764207028754,0.216263453674121,0.321726529641035,0.746126244094421,1.53290110654308,2.58679062799182,0.908337684851972,0.982991792177884,0.95823917927898,0.000388117451342273,0.212225781247574,0.26837011211637,0.0627403773015261,0.193775784530067
