"site","Anthropophony","Biophony","Geophony","Quiet","Interference","Unidentified","wavs"
"s2lam002_190413",0.0622132253711201,0.158434547908232,0.0349527665317139,0.274224021592443,0.0105263157894737,0.462887989203779,247
"s2lam002_190524",0.24551724137931,0.215402298850575,0.0144827586206897,0.201379310344828,0.0335632183908046,0.305057471264368,145
"s2lam002_190604",0.0546485260770975,0.656462585034014,0.00340136054421769,0.0829931972789116,0.00816326530612245,0.196371882086168,147
"s2lam002_190614",0.0169284467713787,0.271553228621291,0.00226876090750436,0.547120418848168,0.00541012216404887,0.160383944153578,191
"s2lam002_190621",0.0131944444444444,0.522453703703704,0.06875,0.00532407407407407,0.00578703703703704,0.390046296296296,144
"s2lam002_200522",0.0173864894795127,0.657696566998893,0.00753045404208195,0.0235880398671096,0.33078626799557,0.0646733111849391,301
"s2lam002_200616",0.0433908045977012,0.243534482758621,0.00646551724137931,0.402298850574713,0.0311781609195402,0.279741379310345,232
"s2lam002_200630",0.0435714285714286,0.476666666666667,0.0166666666666667,0.210952380952381,0.0397619047619048,0.23,140
"s2lam002_210422",0.0327309236947791,0.165060240963855,0.105823293172691,0.382329317269076,0.0284136546184739,0.295481927710843,332
"s2lam002_210518",0.256235827664399,0.344444444444444,0.0346938775510204,0.0142857142857143,0.164852607709751,0.232879818594104,147
"s2lam003_180604",0.00786838340486409,0.0206008583690987,0.013447782546495,0.71587982832618,0.000429184549356223,0.241917024320458,233
"s2lam003_180707",0.033234126984127,0.0786706349206349,0.208333333333333,0.0610119047619048,0.000793650793650794,0.619444444444444,336
"s2lam003_190304",0.0469458987783595,0.0523560209424084,0.162303664921466,0.204013961605585,0.0488656195462478,0.493542757417103,191
"s2lam003_190406",0.0408376963350785,0.407329842931937,0.00541012216404887,0.273123909249564,0.000174520069808028,0.2760907504363,191
"s2lam003_190413",0.0268518518518519,0.109920634920635,0.0260582010582011,0.547354497354497,0.00648148148148148,0.287698412698413,252
"s2lam003_190510",0.0360967184801382,0.183419689119171,0.050259067357513,0.0319516407599309,0.0345423143350604,0.668911917098446,193
"s2lam003_190523",0.0773504273504274,0.417806267806268,0.0199430199430199,0.0676638176638177,0.0225071225071225,0.402279202279202,234
"s2lam003_190601",0.0250764525993884,0.217125382262997,0.123241590214067,0.134862385321101,0.218654434250765,0.337767584097859,218
"s2lam003_190610",0.016301703163017,0.176642335766423,0.00413625304136253,0.560097323600973,0.0975669099756691,0.159124087591241,137
"s2lam003_190623",0.00704225352112676,0.208215962441315,0.013849765258216,0.416901408450704,0.0039906103286385,0.351173708920188,142
"s2lam003_200522",0.0216248506571087,0.512186379928315,0.00788530465949821,0.250776583034648,0.0176821983273596,0.196535244922342,279
"s2lam003_200616",0.0138075313807531,0.170153417015342,0.00404463040446304,0.591073919107392,0.0174337517433752,0.208926080892608,239
"s2lam003_200702",0.02,0.121261261261261,0.0486486486486487,0.234594594594595,0.312432432432432,0.291171171171171,185
"s2lam003_210417",0.00994475138121547,0.50036832412523,0.00607734806629834,0.127992633517495,0.147145488029466,0.23720073664825,181
