site,ACI,ADI,AEI,NDSI,NDSI_A,NDSI_B,BI,H,Ht,Hs,M,R,sfm,rugo,zcr_max,zcr_mean,zcr_min
s2lam104_210328,59.23687823,2.120566091,0.157610882,0.287886401,0.752706244,1.53020885,2.058421928,0.931576688,0.985745787,0.968738134,0.007369859,0.259134651,0.494069179,0.099834406,0.542454217,0.30838817,0.06968246
s2lam104_210417,88.27951555,1.581608263,0.547086153,-0.104900255,0.861494809,0.96443841,6.02301498,0.725571801,0.95584768,0.916708871,0.022694743,0.409506456,0.462589034,0.021990369,0.280160362,0.074465139,0.003238076
s2lam104_210501,76.40571127,1.925102465,0.411328313,0.31114361,0.741601561,1.487664482,3.838126904,0.804678118,0.974171408,0.944822402,0.04718692,0.381229103,0.528812727,0.029251383,0.591498481,0.137914834,0.007039388
s2lam104_210521,59.70554546,2.23448217,0.104668773,0.543507745,0.48138311,1.676597548,3.929285042,0.952379846,0.984147313,0.973712616,0.003583777,1.295697481,0.352953208,0.067926233,0.660862699,0.394524064,0.110690935
s2lam104_210606,62.10755405,1.799045937,0.394860079,-0.237943664,0.920287953,0.644118298,3.465924384,0.86323219,0.978638691,0.94292924,0.007549642,0.45162812,0.397918189,0.048503269,0.471296221,0.191550898,0.017956479
s2lam104_210616,64.37156242,2.247705305,0.066086279,0.214885532,0.769100517,1.209697828,5.356030059,0.950006748,0.986896063,0.971626501,0.009149729,0.736826659,0.519548574,0.054439286,0.45364926,0.269727361,0.084344161
s2lam104_210627,65.07704955,1.942000452,0.335609904,0.169441767,0.819243586,1.307203221,3.168900255,0.917249465,0.96261672,0.966200784,0.003699245,0.376417095,0.601294638,0.038565886,0.648611408,0.36816459,0.032507491
s2lam105_200528,59.30153377,1.896590024,0.253313663,0.44144036,0.549073723,1.587992283,3.261658572,0.925117338,0.975122149,0.96128053,0.003845999,0.407833147,0.501014309,0.085703227,0.581366645,0.355700604,0.094000922
s2lam105_200622,61.18186169,2.201465115,0.110951655,0.536573134,0.526471246,1.788603085,2.52923466,0.964970444,0.982227835,0.978809102,0.002944531,0.555342107,0.466115892,0.06704431,0.67578125,0.444732077,0.088972572
s2lam105_200707,68.72033925,1.807550965,0.458870193,0.146328547,0.825830011,1.193067473,4.034617715,0.886461414,0.958797288,0.965448223,0.005530586,0.433313966,0.489803803,0.017761935,0.710629112,0.318121528,0.009457237
s2lam105_210323,63.71478216,1.75344418,0.42694085,0.195424859,0.709297244,1.191208501,4.027007062,0.885054369,0.967778657,0.952631408,0.006239029,0.388740978,0.486590234,0.03279377,0.609541016,0.27283334,0.024453125
s2lam105_210422,58.17224114,2.256603848,0.053606711,0.597926298,0.5159873,2.099253903,1.998577779,0.974025883,0.986410159,0.982409766,0.003633062,0.659291179,0.424290158,0.10276148,0.706903367,0.479050602,0.197812035
s2lam105_210511,58.4131305,2.237737253,0.115956462,0.199217304,0.7098023,1.219077229,5.246685557,0.924678255,0.986106515,0.964786875,0.006937483,0.546072529,0.470154655,0.061502499,0.512598729,0.247434343,0.052541209
s2lam105_210525,59.86874198,2.202778596,0.104654801,0.716014614,0.340458197,2.058748176,3.500894797,0.96108812,0.983192002,0.975694366,0.003328576,0.90869501,0.405557,0.058033396,0.719525899,0.434235,0.109789705
s2lam105_210602,68.54294261,1.746900014,0.423096738,0.062500005,0.750851455,1.037482138,4.072278772,0.871411968,0.967721619,0.951708395,0.0101929,0.463944787,0.429269779,0.029791947,0.630914783,0.23673621,0.015832779
s2lam105_210615,71.93883138,1.579624746,0.53632089,-0.001544804,0.768351597,0.929214785,4.754338131,0.853179336,0.955668694,0.934405426,0.015763079,0.318212227,0.448158582,0.022474271,0.618842691,0.282067888,0.013274629
s2lam105_210627,59.9982699,2.137255662,0.168284123,0.360009761,0.634909999,1.49438288,2.401699211,0.956893668,0.979795048,0.976392356,0.003111042,0.234797002,0.603231718,0.087663269,0.643871753,0.438377307,0.112938819
s2lam106_200522,59.45156938,2.274093455,0.064677631,0.795173771,0.254248069,2.056841254,4.645556537,0.962649534,0.984270451,0.977023072,0.002541149,1.422409084,0.403529428,0.076580916,0.651026526,0.417967802,0.143525488
s2lam106_200710,58.76362706,2.156082639,0.152366443,0.364279221,0.689759414,1.696497997,1.739574902,0.946059928,0.983838523,0.97463093,0.003024449,2.190662258,0.318216446,0.070820219,0.663859717,0.48521476,0.122726691
s2lam106_210326,63.68972309,1.905186598,0.334146095,0.095155644,0.768032718,1.081809188,3.673319565,0.904676962,0.973696261,0.959048168,0.005477567,0.40613642,0.428078318,0.031080167,0.630776703,0.308699357,0.038917824
s2lam106_210410,58.20855183,2.288938434,0.027149347,0.609119408,0.520156087,2.091053502,1.651786205,0.970856767,0.987427419,0.982231978,0.002087405,0.403301729,0.450185741,0.082097986,0.637531611,0.443255973,0.165914017
