site,ACI,ADI,AEI,NDSI,NDSI_A,NDSI_B,BI,H,Ht,Hs,M,R,sfm,rugo,zcr_mean,YYYY
s2lam038_200522,61.82108003,2.064806931,0.218615943,0.389872691,0.614565755,1.512755155,3.043992562,0.934010285,0.977639927,0.972758336,0.004286894,0.611395868,0.359049236,0.044666587,0.336310705,2020
s2lam038_200616,57.64859715,2.216660911,0.10030936,0.515567048,0.558871594,1.805566204,2.275225013,0.954251753,0.981956489,0.97512383,0.003489822,1.115030337,0.306280956,0.049879186,0.433036932,2020
s2lam038_200702,63.16212832,2.0829432,0.242348183,0.010359562,0.834364399,0.979232653,3.098062343,0.924262566,0.975919628,0.971062681,0.007305242,0.703702672,0.365863542,0.026994097,0.294664083,2020
s2lam038_210322,70.36857605,1.59770515,0.522500357,-0.054189658,0.890594988,0.917961267,3.629919161,0.833487393,0.976483458,0.945991186,0.014964551,0.28890201,0.343957262,0.022607235,0.138386447,2021
s2lam038_210403,66.57638158,1.998030744,0.28651074,-0.065444079,0.886372292,0.868010158,3.249465687,0.906815469,0.96929224,0.965568311,0.006576351,0.991993212,0.328525262,0.043973694,0.286897671,2021
s2lam038_210424,72.56192237,2.041464131,0.257714951,0.303751937,0.737581217,1.566873706,2.804066581,0.913934104,0.959909897,0.971959509,0.006869901,0.721888548,0.420779481,0.041560997,0.324113151,2021
s2lam038_210508,73.98529246,2.054784474,0.325745349,0.074509378,0.866391592,1.090551315,4.181083621,0.901302705,0.965903087,0.966768547,0.007460155,0.311927132,0.4987964,0.021892933,0.265460364,2021
s2lam038_210521,67.94017532,2.10254576,0.229708604,0.252121651,0.762998782,1.432084347,3.67925519,0.927795853,0.973783256,0.972989598,0.006521065,0.27487854,0.464324103,0.051221482,0.316785895,2021
s2lam038_210609,57.45435557,2.133352545,0.132210507,0.442605215,0.636193634,1.806060486,1.860564064,0.954752023,0.982733825,0.97474546,0.003408981,2.843866256,0.25403972,0.080436689,0.433203448,2021
s2lam038_210622,60.85640444,1.949706953,0.323791694,0.111714947,0.757449925,1.245666997,3.822136426,0.895858297,0.969628093,0.957526885,0.008179618,0.495320277,0.340629907,0.031730663,0.262662798,2021
s2lam039_190326,62.67160251,1.998845133,0.255707738,-0.365347548,0.953810336,0.489984045,2.690134614,0.907067631,0.981378057,0.96092297,0.007572345,0.194580757,0.43139308,0.043286083,0.23366213,2019
s2lam039_190411,58.46863068,2.175772297,0.162185599,0.300810108,0.720697135,1.409610768,3.314439374,0.896497257,0.988127167,0.956499564,0.008714368,0.465560534,0.319757337,0.066378624,0.199590932,2019
s2lam039_190428,58.52008959,2.1486501,0.13520832,0.350101628,0.719655367,1.589413507,2.066018907,0.925253357,0.986648114,0.966884883,0.005139183,0.36316719,0.374312793,0.077320985,0.273977261,2019
s2lam039_190513,79.95246988,1.950942301,0.368476813,0.17120486,0.794688881,1.200797777,4.567700819,0.864693728,0.967827352,0.956461167,0.018700028,0.361654443,0.479087948,0.036003834,0.203230901,2019
s2lam039_190531,59.97088843,2.24410642,0.09032342,0.612318368,0.484558672,1.996394018,2.839602449,0.937994213,0.985695828,0.970846936,0.005202103,0.551268972,0.288451333,0.052614546,0.314841985,2019
s2lam039_200522,60.12063466,2.181549605,0.125617057,0.358715353,0.637687904,1.596675225,2.4461268,0.951028621,0.982648817,0.975035085,0.003354598,0.243882549,0.507337562,0.108289649,0.39330635,2020
s2lam039_200603,63.12482938,1.935032548,0.319685487,0.23027293,0.750582227,1.40024672,3.267557455,0.924156962,0.97347925,0.966425264,0.006089056,0.776850224,0.293422462,0.030501443,0.347535542,2020
s2lam039_210329,105.0909755,2.025773231,0.319492597,0.358713214,0.716607412,1.612256841,5.432903989,0.839759259,0.955293884,0.961543816,0.047483624,0.428746022,0.535014585,0.059973384,0.133867213,2021
s2lam039_210413,58.79471967,2.223288195,0.127569868,0.3271592,0.597824492,1.33180022,3.345418079,0.925777012,0.982887735,0.963585299,0.006227682,1.827415671,0.253319121,0.050774093,0.351635032,2021
s2lam039_210501,77.71202914,1.748541191,0.50239711,0.055068249,0.838445767,1.022765896,4.016593723,0.796111077,0.975471719,0.937827308,0.05163433,0.339500948,0.414684093,0.028185541,0.131657402,2021
s2lam039_210514,59.8888238,2.046212474,0.252114077,0.441789326,0.580782642,1.700123766,3.692129468,0.933356825,0.976687178,0.965959431,0.004467726,0.989199052,0.305411021,0.040877103,0.352775082,2021
s2lam039_210527,59.11274787,2.195402796,0.128188705,0.570666808,0.51987753,1.997236488,1.963278157,0.955937884,0.982959359,0.974760613,0.003678555,1.173265771,0.290117023,0.051671599,0.405271485,2021
s2lam039_210608,74.04208428,1.896332522,0.386023826,0.307875297,0.697802813,1.405834714,4.071127893,0.903014533,0.961961823,0.962548211,0.01374418,0.649726032,0.417099223,0.031431281,0.354097459,2021
