"site","wavs","preds","Anthropophony_mean","Anthropophony_var","Biophony_mean","Biophony_var","Geophony_mean","Geophony_var","Quiet_mean","Quiet_var","Interference_mean","Interference_var","Unidentified_mean","Unidentified_var","Anthropophony","Biophony","Geophony","Quiet","Interference","Unidentified"
"s2lam001_210424",439,13170,0.0242976461655277,0.023709070789508,0.160364464692483,0.134657927752257,0.113667425968109,0.100754792567829,0.0668944570994685,0.062424328597112,0.297266514806378,0.208914996927104,0.380865603644647,0.235824901823863,320,2112,1497,881,3915,5016
"s2lam001_210508",543,16290,0.0214855739717618,0.0210252347663996,0.126273787599754,0.110335491368857,0.113566605279312,0.100675411641799,0.102209944751381,0.0917687053833231,0.409576427255985,0.24183842331316,0.289564149785144,0.205729382126802,350,2057,1850,1665,6672,4717
"s2lam001_210530",576,17280,0.012962962962963,0.012795665044059,0.430787037037037,0.245223756947526,0.0224537037037037,0.0219508051949165,0.022974537037037,0.0224480067594361,0.4515625,0.247668141240813,0.1546875,0.130766844869495,224,7444,388,397,7803,2673
"s2lam001_210610",429,12870,0.0480963480963481,0.0457866470221743,0.312820512820513,0.214980543584165,0.0338772338772339,0.0327321101895661,0.00256410256410256,0.00255772667770492,0.546697746697747,0.247838577530084,0.141414141414141,0.121425616802103,619,4026,436,33,7036,1820
"s2lam001_210624",422,12660,0.00584518167456556,0.00581147456798184,0.323775671406003,0.218962281610458,0.0333333333333333,0.0322247676225084,0.273143759873618,0.198551929722492,0.159873617693523,0.134324654221369,0.221011058451817,0.17217877071268,74,4099,422,3458,2024,2798
"s2lam002_180707",41,1230,0.241463414634146,0.183307864811764,0.0211382113821138,0.0207082233556266,0.0414634146341463,0.0397765385302348,0.0032520325203252,0.00324409427983621,0,0,0.69349593495935,0.212732276224308,297,26,51,4,0,853
"s2lam002_190304",580,17400,0.0345402298850575,0.0333491190205805,0.067183908045977,0.0626738324900427,0.296149425287356,0.208456923472283,0.0607471264367816,0.0570601923878569,0.0805172413793104,0.0740384703044765,0.475459770114943,0.249412111146565,601,1169,5153,1057,1401,8273
"s2lam002_190329",422,12660,0.185860979462875,0.151328629064212,0.263744075829384,0.194198477826502,0.0218009478672986,0.0213273511642804,0.0590047393364929,0.0555275661360012,0.00363349131121643,0.00362057503749775,0.472353870458136,0.249255379939991,2353,3339,276,747,46,5980
"s2lam002_190406",564,16920,0.0734042553191489,0.0680200907201145,0.273049645390071,0.198505268532293,0.0348108747044917,0.0336010635852624,0.133687943262411,0.115822322379598,0.141371158392435,0.121392528466534,0.367375886524823,0.232424581202299,1242,4620,589,2262,2392,6216
"s2lam002_190413",749,22470,0.0500667556742323,0.0475621923479678,0.104227859368046,0.0933685679540716,0.0502002670226969,0.047682322257261,0.366132621272808,0.232089853789159,0.0450378282153983,0.0430113364122131,0.395505117935024,0.239091460096641,1125,2342,1128,8227,1012,8887
"s2lam002_190524",434,13020,0.217665130568356,0.170300101387916,0.165975422427035,0.138438214312557,0.0192012288786482,0.0188339882310729,0.240399385560676,0.18262154721523,0.030184331797235,0.02927548641245,0.340552995391705,0.22459390263716,2834,2161,250,3130,393,4434
"s2lam002_190604",435,13050,0.0691187739463602,0.0643462997854535,0.374406130268199,0.234244129627525,0.0157088122605364,0.0154632303997693,0.225210727969349,0.174504227948355,0.0145593869731801,0.014348510726883,0.305057471264368,0.212013656747379,902,4886,205,2939,190,3981
"s2lam002_190614",575,17250,0.0318260869565217,0.0308149735208342,0.171188405797101,0.141891161092304,0.00689855072463768,0.00685135790270555,0.622028985507246,0.235122556989231,0.00359420289855072,0.00358149222681256,0.166898550724638,0.139051485446331,549,2953,119,10730,62,2879
"s2lam002_190621",426,12780,0.0167449139280125,0.0164658101901092,0.319561815336463,0.217459077092565,0.0678403755868545,0.0632430076192345,0.0155712050078247,0.0153299421084156,0.00383411580594679,0.00381971424411211,0.579577464788732,0.243686494898651,214,4084,867,199,49,7407
"s2lam002_200522",877,26310,0.0149372862029647,0.0147147229663702,0.541429114405169,0.248293065692286,0.0109844165716458,0.0108641720936103,0.0364880273660205,0.0351579875224684,0.414861269479285,0.242760623498939,0.0810718358038768,0.0745020249431879,393,14245,289,960,10915,2133
"s2lam002_200616",712,21360,0.0291198501872659,0.0282732081644047,0.14124531835206,0.121300757270089,0.038061797752809,0.0366148114812007,0.368398876404494,0.232692038090408,0.121441947565543,0.106698796199025,0.315917602996255,0.216123789268284,622,3017,813,7869,2594,6748
"s2lam002_200630",428,12840,0.0290498442367601,0.0282081476828171,0.318769470404984,0.21717240888172,0.0406542056074766,0.0390044789059037,0.342367601246106,0.225169563433454,0.0756230529595016,0.0699096514974939,0.215109034267913,0.168850287978193,373,4093,522,4396,971,2762
"s2lam002_210422",1001,30030,0.0202797202797203,0.0198691148672833,0.191308691308691,0.15471482794737,0.102897102897103,0.0923123631172517,0.28954378954379,0.205715033797887,0.0249417249417249,0.0243204451702903,0.378687978687979,0.235291228690942,609,5745,3090,8695,749,11372
"s2lam002_210518",435,13050,0.217394636015326,0.170147246350258,0.187049808429119,0.152073830762857,0.0806130268199234,0.0741202464392245,0.0254406130268199,0.0247952882577282,0.293946360153257,0.207557802318347,0.262835249042146,0.193767729004938,2837,2441,1052,332,3836,3430
