"site","wavs","wavs_sans_int","Anthropophony_mean","Biophony_mean","Geophony_mean","Quiet_mean","Interference_mean"
"s2lam011_210409",417,288,0.00310077519379845,0.0850129198966408,0.0020671834625323,0.704651162790698,0
"s2lam011_210424",439,277,0.0588477366255144,0.152263374485597,0.00925925925925926,0.396296296296296,0
"s2lam011_210508",581,432,0.10917225950783,0.153914988814318,0.00134228187919463,0.409843400447427,0
"s2lam011_210603",575,489,0.00581395348837209,0.162403100775194,0.062015503875969,0.274806201550388,0
"s2lam011_210624",418,246,0.000775193798449612,0.111434108527132,0.00387596899224806,0.688565891472868,0
"s2lam012_180624",870,347,0.119885277246654,0.116571064372212,0.0119184193753983,0.29942638623327,0
"s2lam012_180702",570,117,0.100809418690213,0.583222958057395,0.00117733627667403,0.168579838116262,0
"s2lam012_180707",992,35,0.00794148380355277,0.210240334378265,0.579066527342389,0.00393591083246256,0
"s2lam012_190311",458,248,0.321904761904762,0.296825396825397,0.00492063492063492,0.00793650793650794,0
"s2lam012_190326",572,406,0.146586345381526,0.304016064257028,0.00562248995983936,0.124096385542169,0
"s2lam012_190402",711,422,0.0190311418685121,0.142791234140715,0.526643598615917,0.0100346020761246,0
"s2lam012_190419",698,443,0.111895424836601,0.00588235294117647,0.581960784313725,0.00431372549019608,0
"s2lam013_180624",865,127,0.0766937669376694,0.0756549232158988,0.00546522131887986,0.500135501355014,0
"s2lam013_180702",565,87,0.11652719665272,0.322384937238494,0.00181311018131102,0.34881450488145,0
"s2lam013_180707",985,251,0.0925068119891008,0.0484105358764759,0.0386920980926431,0.325249772933697,0
"s2lam013_190311",455,287,0.26765873015873,0.375793650793651,0.00873015873015873,0.000793650793650794,0
"s2lam013_190324",881,69,0.00480295566502463,0.0158866995073892,0.497495894909688,0,0
"s2lam013_190419",702,29,0.0379395740465577,0.172610203070827,0.041951461119366,0.107231302625062,0
"s2lam013_200522",856,143,0.0146330060776064,0.582421692379617,0.0143057503506311,0.189855072463768,0
"s2lam013_200616",703,110,0.0148397976391231,0.269589657110736,0.0111298482293423,0.289769533445756,0
"s2lam013_200702",571,150,0.0196357878068092,0.0456848772763262,0.0332541567695962,0.599208234362629,0
"s2lam013_210502",433,377,0.228571428571429,0.307142857142857,0.019047619047619,0.00595238095238095,0
"s2lam013_210514",424,330,0.0024822695035461,0.401063829787234,0.0205673758865248,0.298581560283688,0
"s2lam013_210527",593,123,0.0304964539007092,0.20290780141844,0.0280851063829787,0.442127659574468,0
"s2lam013_210622",1873,790,0.0069559864573715,0.141520467836257,0.0449676823638042,0.421883656509695,0
"s2lam014_180604",712,110,0.00913621262458472,0.349612403100775,0.0549833887043189,0.00686600221483942,0
